                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.4071,                 3.8626,                 3.5126,                0.34364,                0.01695,                 0.0103,                0.00299,                 2.8165,                 4.2444,                  3.055,             0.00047511,             0.00047511,             0.00047511
                      2,                 2.4874,                 2.9189,                 2.6129,                0.40848,                0.12994,                0.07618,                0.02524,                 2.4938,                 3.5298,                 2.7061,             0.00090435,             0.00090435,             0.00090435
                      3,                 2.1561,                 2.4437,                 2.2542,                0.46663,                0.16941,                0.13875,                0.05239,                 2.4663,                 3.3644,                  2.702,              0.0012864,              0.0012864,              0.0012864
                      4,                 2.0045,                 2.2275,                 2.0907,                0.12295,                0.35311,                0.16209,                0.06974,                 2.2946,                 2.8097,                 2.4776,              0.0012168,              0.0012168,              0.0012168
                      5,                 1.9031,                 2.0605,                  1.982,                0.57808,                0.39527,                0.30268,                0.15439,                 2.0549,                 2.5278,                   2.33,              0.0012168,              0.0012168,              0.0012168
                      6,                  1.837,                 1.9306,                    1.9,                0.33283,                0.45548,                0.28568,                0.15375,                 1.9375,                 2.1897,                 2.1954,              0.0011461,              0.0011461,              0.0011461
                      7,                 1.7845,                 1.8274,                 1.8393,                0.60607,                0.45329,                0.39227,                0.18907,                 1.9188,                 1.8066,                 2.1672,              0.0010753,              0.0010753,              0.0010753
                      8,                 1.7345,                 1.7369,                  1.787,                0.46535,                0.64002,                 0.3813,                0.20686,                 1.9396,                 2.1438,                 2.2161,              0.0010046,              0.0010046,              0.0010046
                      9,                  1.688,                 1.6518,                   1.74,                0.53241,                0.39877,                0.34368,                0.19018,                 2.0601,                 2.3607,                 2.2977,             0.00093385,             0.00093385,             0.00093385
                     10,                 1.6603,                 1.5976,                 1.7136,                0.61821,                0.47893,                0.37158,                0.21581,                 1.7602,                 1.7798,                      2,             0.00086312,             0.00086312,             0.00086312
                     11,                 1.5919,                 1.3907,                  1.675,                0.46723,                0.46826,                0.34387,                0.19816,                 1.7055,                  1.766,                 1.9244,             0.00079238,             0.00079238,             0.00079238
                     12,                 1.5512,                 1.3148,                 1.6405,                 0.5442,                0.30616,                0.34431,                0.20146,                 1.8078,                  1.783,                 2.0137,             0.00072164,             0.00072164,             0.00072164
                     13,                  1.499,                 1.2398,                 1.5981,                0.45724,                0.47282,                0.35474,                0.20695,                 1.8366,                 1.8994,                 2.1134,             0.00065091,             0.00065091,             0.00065091
                     14,                 1.4598,                 1.1743,                 1.5637,                0.47342,                0.53521,                0.40322,                0.20443,                 1.8335,                 1.5566,                 2.0486,             0.00058017,             0.00058017,             0.00058017
                     15,                 1.4284,                 1.1388,                 1.5326,                0.47789,                0.50117,                0.35678,                0.20196,                  1.749,                 1.6836,                 1.9953,             0.00050944,             0.00050944,             0.00050944
                     16,                 1.3905,                 1.0884,                 1.4998,                 0.6662,                0.48323,                0.41685,                0.23712,                 1.7083,                 1.4893,                 1.8659,              0.0004387,              0.0004387,              0.0004387
                     17,                 1.3696,                  1.057,                  1.481,                0.48698,                0.38554,                0.42223,                  0.241,                 1.6684,                 1.4667,                  1.871,             0.00036797,             0.00036797,             0.00036797
                     18,                 1.3385,                 1.0222,                 1.4563,                0.54014,                0.50117,                0.40502,                0.22594,                 1.6924,                 1.6132,                 1.9273,             0.00029723,             0.00029723,             0.00029723
                     19,                 1.3125,                0.98777,                 1.4359,                0.58764,                0.49542,                0.42151,                0.22866,                 1.6815,                 1.4418,                 1.9199,              0.0002265,              0.0002265,              0.0002265
                     20,                 1.2823,                0.95732,                 1.4168,                0.49974,                0.52701,                0.41907,                0.23702,                 1.6518,                 1.4813,                 1.9188,             0.00015576,             0.00015576,             0.00015576
